Dishes,Descrptions,Kind,_id
Aam Palak Chaat,"Fried baby spinach with diced mango, onion, cilantro, and mixed sauces",Veg,4015709864022002322
Samosa Chaat,"Samosa , onions, yogurt, cilantro, and tamarind chutney",Veg,8412381444477568814
Bhel Puri in Cones,Street-style bhel puri served in bamboo cones,Veg,812544211939902693
Pani Puri/Gol Gappa,"Mini puris - chick peas, chutneys, spiced tamarind water",Veg,12134255628992202909
Aloo Tikki,Potato patty made with spiced peas,Veg,11116747367905839630
Assorted Vegetable Pakora,Battered and fried onions and vegetables,Veg,13598146390207447787
Gobhi Manchurian,Battered and fried cauliflower in spicy Asian sauce,Veg,619019729863591585
Paneer Shashlik,"Cubes of marinated and grilled paneer with grilled tomatoes, onions, and green peppers",Veg,3696265400199303093
Paneer Wonton,"Grated paneer cooked with ginger, chili and Indian spices in wonton skin",Veg,4103079425195066509
Stuffed Masala Mushroom,Mushrooms stuffed with veggie Indian spice masala,Veg,17788657167202206345
Ganderi Kabob,Spicy chicken kabob skewered on sweet sugar cane,Veg,11409234810999163470
Pani Puri Shot,Stuffed gol gappa served on a shot glass filled with pani,Veg,9491124051239321824
Paneer In a Blanket,Tandoori paneer wrapped in croissant dough,Veg,10862180642944664064
Gol Bhel**,Street style bhelpuri served in Gol Gappas,Veg,8879607874896940611
Murgh Roti-te-boti,Chicken slider on small round naan biscuit,Non-Veg,15734127749340742864
Lamb Roti-te-boti,Lamb slider on small round naan biscuit,Non-Veg,17468888075172727030
GF Tandoori Shrimp with Mango Salsa,Shrimp cooked in the Tandoor (clay oven) in a demi martini glass,Non-Veg,15134064411601944687
Hariyali Tikki,Mixed green vegetable patties,Veg,157068689382263075
Paneer Pakora,Battered and fried paneer in authentic Indian spices,Veg,10107316271506080950
Papdi Chaat,"Papdi, potatoes, chickpeas, cilantro, yogurt, mint, & tamarind sauce",Veg,17308382465231767715
Vegetable Manchurian,Battered and fried vegetables in spicy Asian sauce,Veg,4514246162815666125
Vegetable Kabobs,Marinated and grilled vegetables served on skewers,Veg,4604080206810989883
Samosa,Crisp turnovers stuffed with potatoes & green peas,Veg,9819207766090926219
Hariyali Tikki,Potato and spinach patty,Veg,15552374111860902271
Chicken Reshmi Kabob,"Ground, spiced chicken cooked in the tandoor",Non-Veg,12595343805999959275
Chicken Pakora,Battered chicken fritters(clay oven),Non-Veg,13754239162318604600
Chicken Tikka Kabob,Cubes of chicken marinated overnight in tikka sauce and cooked in the tandoor (clay oven),Non-Veg,965651802187777130
Murgh Malai Kabob,Cubes of chicken marinated in yogurt-based sauce and cooked in the tandoor (clay oven),Non-Veg,8835323593544516752
Chicken Manchurian,Ground chicken dumplings in spicy Asian sauce,Non-Veg,12263562592234917606
Chili Chicken,"Battered and fried boneless chicken chunks, cooked with bell peppers in sweet and spicy Asian sauce",Non-Veg,638184727686891237
Murgh Aachari Tikka,"Small pieces of boneless chicken, marinated with pickles and cooked in the tandoor (clay oven)",Non-Veg,11337476138585771231
Chicken 65,"Southern-style orange chicken battered, fried, and sauteed with mustard seeds and curry leaves",Non-Veg,2020340769451821041
Lamb Shami Kabob,"Small patty of minced lamb, ground chickpeas and spices",Non-Veg,10097201176281629803
Lamb Seekh Kabob,"Ground lamb, grated onions with our house seasoning and cooked in the tandoor (clay oven)",Non-Veg,15630497285104095011
Aloo Gobhi Matar,Cauliflower and potatoes cooked with spices,Veg,9362367439269545314
Aloo Methi,Potatoes cooked with fenugreek leaves,Veg,6075287347690882809
Dum Alu Kashmiri,Baby potatoes cooked in yogurt gravy and spices,Veg,4959873261886064101
Aloo Baingan,Potatoes and eggplant cooked in traditional spices,Veg,2916881763729165764
Aloo Bhindi,Potatoes and okra cooked in traditional spices,Veg,8847668785917414084
Aloo Chana,"Potato and chickpeas cooked in butter, herbs, and spices",Veg,7924120173015942038
Bhindi Masala,Okra cooked with onions and spices,Veg,5774813031028180040
Tawa Bhindi,Long cut okra presented on tawa,Veg,18025562737186456853
Palak Paneer,Spinach with Indian cheese,Veg,15061700756782140416
Baby Corn & Palak,Spinach with baby corn,Veg,14013656195962192813
Matar Paneer,Green peas cooked in a curry with Indian cheese,Veg,11258887785697723929
Shaam Savera**,"Cottage cheese balls wrapped in minced spinach and potato, served with a creamy tomato sauce",Veg,7166825656756816270
Kadhai Paneer,Paneer cooked in an Indian wok with cubed onions and peppers,Veg,2308792961533692194
Paneer Tikka Masala,Paneer in tomato and onion based sauce,Veg,18368533971512675120
Shahi Paneer,Paneer with our special cashew nut seasoning in a rich tomato-based sauce (Kashmir Style),Veg,12907121832773304749
Paneer Makhani,"Paneer cubes in savory, creamy tomato-based sauce",Veg,10965514648410997369
Paneer Pasanda,"Mini triangular paneer sandwiches with a spicy stuffing served in a rich, mango-based sauce",Veg,3245346146489943045
Kadhai Mushroom,Mushroom sauteed with cubed onion and peppers,Veg,8024135205384503490
Mushroom Matar,Green peas and mushroom cooked in a tomato sauce,Veg,17449690487040984091
