rest_id,avg_rating,no_of_rating,user_id,user_rating
4.034551762200448e+18,2.8,4611,4.616512536838098e+18,3
1.4171917124414423e+19,1.5,8736,1.6690943610036765e+19,4
8.665712324928556e+18,1.5,8430,4.616512536838098e+18,2
2.2306516744106312e+18,3.8,9637,1.6690943610036765e+19,1
5.234272474682836e+18,4.7,9553,1.5050312560816767e+19,2
4.796737216963625e+18,4.6,6562,1.577969828238952e+19,1
1.274272738727148e+19,2.9,4664,1.213432308552442e+19,3
1.0918452587602135e+19,2.5,8253,6.816937772746822e+18,0
1.8838381414817638e+18,1.9,690,1.4698628003806726e+19,2
1.220937496852957e+19,4.4,9304,6.628780713183364e+18,1
1.02573742033157e+19,4.5,7134,1.5309922501570873e+19,4
7.320034107306495e+18,3.7,8814,5.38557281725727e+17,0
5.740079177654161e+18,3.1,5759,1.549336616575764e+19,2
6.114384142440022e+18,1.4,3604,4.948654592146622e+18,3
5.440105256768324e+18,3.0,9432,1.0952338289285284e+19,2
8.045557043467666e+18,4.2,3649,3.119004961164054e+18,0
1.3790091326471487e+19,4.5,7088,1.6842925686014495e+19,2
1.010023611704012e+19,1.1,6691,7.111430747023782e+17,4
5.633768739594979e+18,2.3,9657,1.7660636371957137e+19,4
6.167722927146943e+18,4.8,277,7.217513652859127e+18,1
2.2306516744106312e+18,1.9,946,2.381618184978977e+18,0
4.2501049163205356e+18,1.4,4331,3.8290866547866074e+17,3
8.083495931734871e+18,4.6,9645,1.8002027654633181e+19,3
1.4222466331021953e+19,3.2,7373,1.6690943610036765e+19,4
1.4512529912588618e+19,4.0,4622,9.96886401146849e+18,4
1.6459651245508282e+19,4.3,4050,5.118511053483427e+18,4
9.045897207652632e+18,2.5,9085,2.7973455834534564e+18,0
6.870208512513327e+17,1.4,8280,1.6055933091473279e+19,2
1.3995525576961376e+19,4.1,2282,1.5186060600820124e+19,0
1.6824832692554715e+19,3.9,3310,2.30922273827339e+18,4
1.3772492544700096e+18,1.0,8303,5.904533670630737e+18,1
4.708235395492759e+18,4.2,8783,1.1255526171930313e+18,0
1.6179352917770783e+19,1.8,6302,5.571399765845625e+18,0
9.270228624729e+18,4.0,8696,1.0886693472590381e+19,2
7.130617793679477e+18,4.3,8856,3.0143044749114276e+18,4
3.6048872504078013e+18,4.7,4781,3.4567772953846074e+17,2
4.4669374375379784e+18,2.3,7454,6.628780713183364e+18,2
1.2497002861413482e+19,4.4,7330,4.948654592146622e+18,0
7.498573841729276e+18,3.1,4431,1.4698628003806726e+19,3
9.504797872273705e+18,3.2,9716,8.482904604301149e+18,2
7.309304844395762e+18,4.3,9871,1.4698628003806726e+19,0
9.739562567955862e+18,3.6,216,1.0777704607573625e+19,2
6.600718494630746e+17,3.6,7738,2.381618184978977e+18,4
1.9317763451546688e+18,2.8,6403,1.2820362320861282e+19,3
1.718391946737204e+19,4.0,2691,4.616512536838098e+18,2
1.5320262699224814e+19,3.1,926,7.259819386284754e+18,2
1.1074291158043218e+19,2.6,8247,3.0143044749114276e+18,4
1.1473828457564754e+19,1.2,2686,1.5116870719382897e+19,2
2.2254121931283679e+18,1.3,6543,1.6842925686014495e+19,2
1.2025347558508155e+19,3.5,8195,1.0777704607573625e+19,3
6.586634354068441e+18,4.6,9434,3.8290866547866074e+17,3
1.4313665577827896e+18,2.9,4444,1.1255526171930313e+18,0
1.2891993417255438e+19,3.3,6583,7.635396661974156e+18,2
1.6717821721611487e+19,1.2,8442,1.577969828238952e+19,3
