City,County,Place,lat,lon,rest_id,Location
Goa,India,Cafe Coffee Day,15.4822637,73.809043,4608458026852568657,"Cafe Coffee Day,Goa,India"
Goa,India,Cafe Delish,15.5765525,73.7459118,4969630048159747539,"Cafe Delish,Goa,India"
Goa,India,Cafe Diogo,15.5776302,73.74698740000002,14381004962533755682,"Cafe Diogo,Goa,India"
Goa,India,Cafe Orange Boom,15.5775148,73.7465811,13240528833393476890,"Cafe Orange Boom,Goa,India"
Goa,India,Cafe Coffee Day,15.835162400000002,74.50492990000002,16323380750220479696,"Cafe Coffee Day,Goa,India"
Goa,India,Sushi Cafe,15.6928356,73.7005215,6710113750256599676,"Sushi Cafe,Goa,India"
Goa,India,Umbrella Cafe,15.690956,73.7045628,5597114453166084090,"Umbrella Cafe,Goa,India"
Goa,India,Cafe Beach Hut,15.1718859,73.9421387,17183919467372039700,"Cafe Beach Hut,Goa,India"
Goa,India,Antonio Cafe,15.2812958,73.9119067,4390744799033379222,"Antonio Cafe,Goa,India"
Goa,India,Fishermens Cafe,15.2944016,73.90757409999998,12891993417255438929,"Fishermens Cafe,Goa,India"
Goa,India,Little Palm Cafe,15.293497199999996,73.9078755,14565917539339092983,"Little Palm Cafe,Goa,India"
Goa,India,Silver Star Cafe,15.2868301,73.91062120000002,9053607062736751134,"Silver Star Cafe,Goa,India"
Goa,India,Bob's Cafe,15.277413199999998,73.9133257,15529627773849521680,"Bob's Cafe,Goa,India"
Goa,India,Antony's Sizzling Cafe,15.2792152,73.91449300000002,17233840063544510332,"Antony's Sizzling Cafe,Goa,India"
Goa,India,Atul Cafe,15.2758429,73.914596,1047870180929194628,"Atul Cafe,Goa,India"
Goa,India,Nirvana Cafe,14.9967061,74.0344561,4720521475528281935,"Nirvana Cafe,Goa,India"
Goa,India,Round Cube Cafe,14.9971688,74.0341821,16528705275364460939,"Round Cube Cafe,Goa,India"
Goa,India,Rockit Cafe,15.0126182,74.0175843,14208888613136977462,"Rockit Cafe,Goa,India"
Goa,India,Cafe Budan,15.0396723,73.98912800000002,11896612119012066899,"Cafe Budan,Goa,India"
Goa,India,Sea Pearls Beach Cafe,15.2124018,73.931537,763641825254786783,"Sea Pearls Beach Cafe,Goa,India"
Goa,India,Freedom Cafe,15.6745726,73.7067313,13160821168180905041,"Freedom Cafe,Goa,India"
Goa,India,Aggies Cafe,15.5319769,73.7588963,11152742174358392147,"Aggies Cafe,Goa,India"
Goa,India,Cafe Jazz,15.5158827,73.76818709999998,10349918687735268685,"Cafe Jazz,Goa,India"
Goa,India,Pine Cafe,15.5285821,73.7600157,11455657793308019485,"Pine Cafe,Goa,India"
Goa,India,Reggie's Cafe,15.533901,73.7582771,12209374968529569802,"Reggie's Cafe,Goa,India"
Goa,India,Cafe Horizon,15.5435434,73.7553944,11043447396407987517,"Cafe Horizon,Goa,India"
Goa,India,Cafe H2O,15.5857479,73.74137569999998,1906709126987858415,"Cafe H2O,Goa,India"
Goa,India,Cafe Antonio's,15.5761302,73.7402184,12667789164304222360,"Cafe Antonio's,Goa,India"
Goa,India,Cafe Looda,15.5718614,73.7416953,9173122168348691302,"Cafe Looda,Goa,India"
Goa,India,Nirvana Cafe,15.6001634,73.73653,14171917124414423711,"Nirvana Cafe,Goa,India"
Goa,India,Om Cafe,15.5942117,73.734503,603103557893768969,"Om Cafe,Goa,India"
Goa,India,Andys Cafe,15.5961144,73.8110725,8586253806867139034,"Andys Cafe,Goa,India"
Goa,India,Cafe Nidhi,15.6658689,73.7224467,8636431864268802943,"Cafe Nidhi,Goa,India"
Goa,India,KRISH Cafe,15.6817456,73.70467909999998,7088829752731779227,"KRISH Cafe,Goa,India"
Goa,India,Sunshine Cafe,15.6745784,73.70649709999998,14300973925088053690,"Sunshine Cafe,Goa,India"
Goa,India,Cafe Bhosle,15.4995478,73.82745279999997,12114276116627934026,"Cafe Bhosle,Goa,India"
Goa,India,Cafe Coffee Day,15.464905900000002,73.8540437,885569579848254509,"Cafe Coffee Day,Goa,India"
Goa,India,Cafe Real,15.50032,73.8268071,11958555039664458635,"Cafe Real,Goa,India"
Goa,India,Cafe de Goa,15.547329199999998,73.7709301,2946863496625407288,"Cafe de Goa,Goa,India"
Goa,India,Shanti Cafe,15.6848214,73.70649559999998,5440105256768323607,"Shanti Cafe,Goa,India"
Goa,India,Cafe Chix,15.3949309,74.0024056,12325135228998993817,"Cafe Chix,Goa,India"
Goa,India,AJ's Cafe,15.262085,73.9373932,15143872835091777174,"AJ's Cafe,Goa,India"
Goa,India,Tibetian Momo Cafe,15.6839229,73.70730999999998,13405018392038491815,"Tibetian Momo Cafe,Goa,India"
Goa,India,Trufles Cafe,15.471838,73.8111322,18110570845625011882,"Trufles Cafe,Goa,India"
