,Place,city,County,lat,lon,cordinates,Location,_id
0,Pagere Beach,Goa,India,15.9249226,73.5593803,"('15.9249226', '73.5593803')","Pagere Beach,Goa,India",90001583354934686724132816548353747220
1,Kalavi Beach,Goa,India,15.9074468,73.5890539959039,"('15.9074468', '73.5890539959039')","Kalavi Beach,Goa,India",291554551979307657898362231581867752670
2,Kondura Beach,Goa,India,15.88956555,73.59928764177509,"('15.88956555', '73.5992876417751')","Kondura Beach,Goa,India",115958079388094116446367894400009415269
3,Ubhdanda Beach,Goa,India,15.87623375,73.60590214897701,"('15.87623375', '73.605902148977')","Ubhdanda Beach,Goa,India",334237836680224956875982285179607614836
4,Mochemad Beach,Goa,India,15.79834,73.65235,"('15.79834', '73.65235')","Mochemad Beach,Goa,India",148975849998549704841647027920735909284
5,Paradise Beach,Goa,India,43.3506268,-73.67984009999998,"('43.3506268', '-73.6798401')","Paradise Beach,Goa,India",35704140338987876208257473208844130725
6,Bhogave/Kolwel Beach,Goa,India,15.95445,73.5025025876531,"('15.95445', '73.5025025876531')","Bhogave/Kolwel Beach,Goa,India",169204454198061571772548943440338585317
7,Chiwla Beach,Goa,India,16.06602685,73.463704927988,"('16.06602685', '73.463704927988')","Chiwla Beach,Goa,India",254198779384266246332443445699698342089
8,Beach Near Vijaydurg,Goa,India,16.541456099999998,73.314605441418,"('16.5414561', '73.314605441418')","Beach Near Vijaydurg,Goa,India",243267990237770882864102907034385071519
9,Beach Near Vijaydurg,Goa,India,16.541456099999998,73.314605441418,"('16.5414561', '73.314605441418')","Beach Near Vijaydurg,Goa,India",248980907083283929501973537251350772859
10,Apaiwadi Beach,Goa,India,16.2333565,73.4225388192198,"('16.2333565', '73.4225388192198')","Apaiwadi Beach,Goa,India",33920794245718041967215213491807050071
11,Dhamale Beach,Goa,India,16.552026,73.3226802683523,"('16.552026', '73.3226802683523')","Dhamale Beach,Goa,India",27851441448613965639669095013045516551
12,Beach Near Vijaydurg,Goa,India,16.541456099999998,73.314605441418,"('16.5414561', '73.314605441418')","Beach Near Vijaydurg,Goa,India",242250550424318991901936105388803404492
13,Colva Beach,Goa,India,15.2850095,73.9108680914518,"('15.2850095', '73.9108680914518')","Colva Beach,Goa,India",248996453131353569751601957728353301655
14,Baga Beach,Goa,India,15.557476,73.7511029148699,"('15.557476', '73.7511029148699')","Baga Beach,Goa,India",90552021967284083470855013795241453380
15,Arossim Beach,Goa,India,15.3351328,73.8929125,"('15.3351328', '73.8929125')","Arossim Beach,Goa,India",167615758562293440234236393036441457766
16,Sernabatim Beach,Goa,India,15.263724599999998,73.9169329,"('15.2637246', '73.9169329')","Sernabatim Beach,Goa,India",272800170959756800332457040774700662867
17,Mandrem Beach,Goa,India,15.6665495,73.7144983,"('15.6665495', '73.7144983')","Mandrem Beach,Goa,India",24945000269665423707000669903460341251
18,Agonda Sunset Beach,Goa,India,15.0370919,73.989366,"('15.0370919', '73.989366')","Agonda Sunset Beach,Goa,India",9372620744209287419591685095823295691
19,Cansaulim Beach,Goa,India,15.35483515,73.8839305443846,"('15.35483515', '73.8839305443846')","Cansaulim Beach,Goa,India",77616041593622886590198839195197234314
20,Utorda Beach,Goa,India,15.3196353,73.898934,"('15.3196353', '73.898934')","Utorda Beach,Goa,India",231054782233383151309469433225030685121
21,Velsao Beach,Goa,India,15.354467,73.8839713,"('15.354467', '73.8839713')","Velsao Beach,Goa,India",325461522617736392268343052334800422725
22,Fatrade Beach,Goa,India,15.2079045,73.9326021,"('15.2079045', '73.9326021')","Fatrade Beach,Goa,India",117885154741158885026173675692189077506
23,Varca Beach,Goa,India,15.2321443,73.9259238,"('15.2321443', '73.9259238')","Varca Beach,Goa,India",26828343528897249645180396144089230744
24,Betalbatim Beach,Goa,India,15.2931923,73.90774520000002,"('15.2931923', '73.9077452')","Betalbatim Beach,Goa,India",6974595900762181759054792263751131869
25,Zalor Beach,Goa,India,15.2006619,73.93451379999998,"('15.2006619', '73.9345138')","Zalor Beach,Goa,India",67926837076165495121972325930852141396
26,Lobo's Beach,Goa,India,15.5283634,73.760014,"('15.5283634', '73.760014')","Lobo's Beach,Goa,India",157312013457692607292361614225821403151
27,Beach Queen,Goa,India,15.5474384,73.75471999999998,"('15.5474384', '73.75472')","Beach Queen,Goa,India",97105300939833164619604475487971008336
28,Sunset Beach,Goa,India,33.7179231,-118.0706056,"('33.7179231', '-118.0706056')","Sunset Beach,Goa,India",77440531809717450525141605150330554845
29,CKF Beach,Goa,India,15.4245405,73.89109,"('15.4245405', '73.89109')","CKF Beach,Goa,India",269391154348794786765066452970814217521
30,Nuem Beach,Goa,India,15.112057,73.935524,"('15.112057', '73.935524')","Nuem Beach,Goa,India",133350368934387963445203478753467846358
